id,numero_plant,date_plantation,age_plant,longitude,latitude,suivi_biannuelle,altitude,zone_pedo,distance_a_mer_reel,commentaires,geom
1647,"RN 01664",2015-06-12,2,77.5503,-37.8041,,155,16,0,,0104000020D70B000001000000010100000062A27BC4D8A8564198290424B3023441
1648,"RN 01665",2015-06-12,2,77.5503,-37.8041,,155,16,0,,0104000020D70B000001000000010100000062A27BC4D8A8564198290424B3023441
1649,"RN 01666",2015-06-12,2,77.5503,-37.8041,,155,16,0,,0104000020D70B000001000000010100000062A27BC4D8A8564198290424B3023441
1650,"RN 01667",2015-06-12,2,77.5503,-37.8041,,155,16,0,,0104000020D70B000001000000010100000062A27BC4D8A8564198290424B3023441
1651,"RN 01668",2015-06-12,2,77.5503,-37.8041,,155,16,0,,0104000020D70B000001000000010100000062A27BC4D8A8564198290424B3023441
1652,"RN 01669",2015-06-12,2,77.5503,-37.804,,155,16,0,,0104000020D70B00000100000001010000007936BC08DCA856412CB08106B6023441
1653,"RN 01670",2015-06-12,2,77.5503,-37.8041,1,155,16,0,,0104000020D70B000004000000010100000062A27BC4D8A8564198290424B3023441010100000062A27BC4D8A8564198290424B3023441010100000062A27BC4D8A8564198290424B3023441010100000062A27BC4D8A8564198290424B3023441
1654,"RN 01671",2015-06-12,2,77.5503,-37.8041,,155,16,0,,0104000020D70B000001000000010100000062A27BC4D8A8564198290424B3023441
1655,"RN 01672",2015-06-12,2,77.5503,-37.804,,155,16,0,,0104000020D70B00000100000001010000007936BC08DCA856412CB08106B6023441
1656,"RN 01673",2015-06-12,2,77.5502,-37.804,,155,16,0,,0104000020D70B0000010000000101000000E98E3F76DBA8564155328F64C0023441
1657,"RN 01675",2015-06-12,2,77.5503,-37.804,,155,16,0,,0104000020D70B00000100000001010000007936BC08DCA856412CB08106B6023441
1658,"RN 01676",2015-06-12,2,77.5503,-37.804,,155,16,0,,0104000020D70B00000100000001010000007936BC08DCA856412CB08106B6023441
1659,"RN 01677",2015-06-12,2,77.5503,-37.804,,155,16,0,,0104000020D70B00000100000001010000007936BC08DCA856412CB08106B6023441
1660,"RN 01678",2015-06-12,2,77.5503,-37.804,,155,16,0,,0104000020D70B00000100000001010000007936BC08DCA856412CB08106B6023441
1661,"RN 01679",2015-06-12,2,77.5503,-37.804,,155,16,0,,0104000020D70B00000100000001010000007936BC08DCA856412CB08106B6023441
1662,"RN 01680",2015-06-12,2,77.5503,-37.804,,155,16,0,,0104000020D70B00000100000001010000007936BC08DCA856412CB08106B6023441
1663,"RN 01681",2015-06-12,2,77.5503,-37.804,1,155,16,0,,0104000020D70B00000400000001010000007936BC08DCA856412CB08106B602344101010000007936BC08DCA856412CB08106B602344101010000007936BC08DCA856412CB08106B602344101010000007936BC08DCA856412CB08106B6023441
1664,"RN 01682",2015-06-12,2,77.5502,-37.8038,1,155,16,0,,0104000020D70B00000400000001010000000816C1FEE1A85641D9B58D29C602344101010000000816C1FEE1A85641D9B58D29C602344101010000000816C1FEE1A85641D9B58D29C602344101010000000816C1FEE1A85641D9B58D29C6023441
1665,"RN 01683",2015-06-12,2,77.5502,-37.8038,,155,16,0,,0104000020D70B00000100000001010000000816C1FEE1A85641D9B58D29C6023441
1666,"RN 01684",2015-06-12,2,77.5502,-37.8038,,155,16,0,,0104000020D70B00000100000001010000000816C1FEE1A85641D9B58D29C6023441
1667,"RN 01685",2015-06-12,2,77.5503,-37.8038,,155,16,0,,0104000020D70B0000010000000101000000D3E73D91E2A8564178367DCBBB023441
1668,"RN 01686",2015-06-12,2,77.5502,-37.8038,,155,16,0,,0104000020D70B00000100000001010000000816C1FEE1A85641D9B58D29C6023441
1669,"RN 01687",2015-06-12,2,77.5502,-37.8038,,155,16,0,,0104000020D70B00000100000001010000000816C1FEE1A85641D9B58D29C6023441
1670,"RN 01688",2015-06-12,2,77.5503,-37.8038,,155,16,0,,0104000020D70B0000010000000101000000D3E73D91E2A8564178367DCBBB023441
1671,"RN 01689",2015-06-12,2,77.5503,-37.8038,,155,16,0,,0104000020D70B0000010000000101000000D3E73D91E2A8564178367DCBBB023441
1672,"RN 01690",2015-06-12,2,77.5503,-37.8038,,155,16,0,,0104000020D70B0000010000000101000000D3E73D91E2A8564178367DCBBB023441
1673,"RN 01691",2015-06-12,2,77.5503,-37.8038,,155,16,0,,0104000020D70B0000010000000101000000D3E73D91E2A8564178367DCBBB023441
1674,"RN 01692",2015-06-12,2,77.5503,-37.8038,1,155,16,0,,0104000020D70B0000040000000101000000D3E73D91E2A8564178367DCBBB0234410101000000D3E73D91E2A8564178367DCBBB0234410101000000D3E73D91E2A8564178367DCBBB0234410101000000D3E73D91E2A8564178367DCBBB023441
1675,"RN 01693",2015-06-12,2,77.5503,-37.8038,,155,16,0,,0104000020D70B0000010000000101000000D3E73D91E2A8564178367DCBBB023441
1676,"RN 01694",2015-06-12,2,77.5503,-37.8038,,155,16,0,,0104000020D70B0000010000000101000000D3E73D91E2A8564178367DCBBB023441
1677,"RN 01695",2015-06-15,2,77.5505,-37.8036,,155,16,0,,0104000020D70B00000100000001010000007764B93EEAA85641EF9B51D4AC023441
1678,"RN 01696",2015-06-15,2,77.5505,-37.8036,,155,16,0,,0104000020D70B00000100000001010000007764B93EEAA85641EF9B51D4AC023441
1679,"RN 01697",2015-06-15,2,77.5505,-37.8036,,155,16,0,,0104000020D70B00000100000001010000007764B93EEAA85641EF9B51D4AC023441
1680,"RN 01698",2015-06-15,2,77.5504,-37.8038,1,155,16,0,,0104000020D70B0000010000000101000000B96DBA23E3A8564105746C6DB1023441
1681,"RN 01699",2015-06-15,2,77.5505,-37.8036,,155,16,0,,0104000020D70B00000100000001010000007764B93EEAA85641EF9B51D4AC023441
1682,"RN 01700",2015-06-15,2,77.5505,-37.8036,,155,16,0,,0104000020D70B00000100000001010000007764B93EEAA85641EF9B51D4AC023441
1683,"RN 01701",2015-06-15,2,77.5505,-37.8036,,155,16,0,,0104000020D70B00000100000001010000007764B93EEAA85641EF9B51D4AC023441
